no,fileName,encryptionMethod,encryptionTime,decryptionTime
1,final.txt,aes,0.22912025451660156,0.7741451263427734
1,quote.jpg,aes,0.0,0.0
1,teaser.mp4,aes,170.7143783569336,117.91205406188965
1,final.txt,des,377.46644020080566,1.004934310913086
1,quote.jpg,des,9.55510139465332,5.145788192749023
1,teaser.mp4,des,843.7869548797607,761.0030174255371
1,final.txt,rc4,0.0,0.0
1,quote.jpg,rc4,0.0,0.0
1,teaser.mp4,rc4,115.78750610351562,145.42007446289062
1,final.txt,diy_aes,27.572154998779297,31.07452392578125
1,quote.jpg,diy_aes,881.8292617797852,582.3593139648438
1,teaser.mp4,diy_aes,447024.2097377777,510347.5799560547
1,final.txt,diy_des,229.04634475708008,108.20484161376953
1,quote.jpg,diy_des,2808.5997104644775,2557.828187942505
